排名,IP地址,地区码,地区,延迟(ms),下载速度(MB/s),端口,测速类型
1,162.159.24.246,IAD,美国阿什本,1.82,0.06,443,完全测速
2,104.21.16.240,IAD,美国阿什本,1.71,0.05,443,完全测速
3,172.66.128.165,IAD,美国阿什本,1.79,0.05,443,完全测速
4,104.27.194.171,IAD,美国阿什本,1.87,0.05,443,完全测速
5,104.17.131.254,IAD,美国阿什本,1.89,0.05,443,完全测速
6,104.21.29.19,IAD,美国阿什本,1.91,0.05,443,完全测速
7,104.27.38.214,IAD,美国阿什本,1.92,0.05,443,完全测速
8,104.24.14.175,IAD,美国阿什本,1.93,0.05,443,完全测速
9,172.64.231.34,IAD,美国阿什本,1.93,0.05,443,完全测速
10,162.159.143.115,IAD,美国阿什本,1.94,0.05,443,完全测速
11,172.64.229.109,IAD,美国阿什本,1.84,0.04,443,完全测速
12,104.24.15.110,IAD,美国阿什本,1.85,0.04,443,完全测速
13,104.16.87.7,IAD,美国阿什本,1.88,0.04,443,完全测速
14,104.21.47.11,IAD,美国阿什本,1.93,0.04,443,完全测速
15,162.159.234.240,IAD,美国阿什本,1.68,0.03,443,完全测速
16,162.159.142.15,IAD,美国阿什本,1.85,0.03,443,完全测速
17,104.21.23.143,IAD,美国阿什本,1.90,0.03,443,完全测速
18,172.64.234.202,IAD,美国阿什本,1.93,0.03,443,完全测速
19,172.65.7.229,UNKNOWN,未知地区,1.81,0.00,443,完全测速
20,172.64.228.22,IAD,美国阿什本,1.91,0.00,443,完全测速
